index,original,date,input,output
0,7,2017,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,20,2017,LeBron James plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
2,38,2017,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Chelsea F.C. <extra_id_1>
3,49,2017,Steve Smith plays for <extra_id_0>.,<extra_id_0> Sydney Sixers <extra_id_1>
4,60,2017,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
5,78,2017,Erin McLeod plays for <extra_id_0>.,<extra_id_0> FC Rosengård <extra_id_1>
6,89,2017,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
7,103,2017,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
8,114,2017,Vince Carter plays for <extra_id_0>.,<extra_id_0> Memphis Grizzlies <extra_id_1>
9,125,2017,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
10,136,2017,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
11,147,2017,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Netherlands national association football team <extra_id_1>
12,157,2017,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> Sunrisers Hyderabad <extra_id_1>
13,168,2017,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Orlando Pride <extra_id_1>
14,179,2017,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Bora-Hansgrohe <extra_id_1>
15,190,2017,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Malmö FF <extra_id_1>
16,208,2017,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Atlético Madrid <extra_id_1>
17,218,2017,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national association football team <extra_id_1>
18,224,2017,Juan Román Riquelme plays for <extra_id_0>.,<extra_id_0> Boca Juniors <extra_id_1>
19,232,2017,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Portland Trail Blazers <extra_id_1>
20,243,2017,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
21,251,2017,Mashrafe Mortaza plays for <extra_id_0>.,<extra_id_0> Rangpur Riders <extra_id_1>
22,262,2017,Javier Hernández plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
23,273,2017,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
24,280,2017,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Queensland Reds <extra_id_1>
25,291,2017,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Carlisle United F.C. <extra_id_1>
26,305,2017,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> FC Bayern Munich <extra_id_1>
27,313,2017,Kyrie Irving plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
28,324,2017,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Lancashire County Cricket Club <extra_id_1>
29,335,2017,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Southampton F.C. <extra_id_1>
30,351,2017,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Sol de América de Formosa <extra_id_1>
31,367,2017,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Real Sociedad <extra_id_1>
32,377,2017,Nani plays for <extra_id_0>.,<extra_id_0> Valencia CF <extra_id_1>
33,388,2017,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> Paris Saint-Germain <extra_id_1>
34,399,2017,Steve Morison plays for <extra_id_0>.,<extra_id_0> Millwall F.C. <extra_id_1>
