index,original,date,input,output
0,0,2010,Valentino Rossi plays for <extra_id_0>.,<extra_id_0> Yamaha Motor Racing <extra_id_1>
1,11,2010,Shaquille O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
2,13,2010,LeBron James plays for <extra_id_0>.,<extra_id_0> Cleveland Cavaliers <extra_id_1>
3,24,2010,Bradley Wiggins plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
4,31,2010,Eden Hazard plays for <extra_id_0>.,<extra_id_0> Lille OSC <extra_id_1>
5,42,2010,Steve Smith plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
6,53,2010,Luka Modrić plays for <extra_id_0>.,<extra_id_0> Tottenham Hotspur F.C. <extra_id_1>
7,64,2010,Michael Owen plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
8,71,2010,Erin McLeod plays for <extra_id_0>.,<extra_id_0> Washington Freedom <extra_id_1>
9,82,2010,Shakib Al Hasan plays for <extra_id_0>.,<extra_id_0> Bangladesh national cricket team <extra_id_1>
10,91,2010,Dida plays for <extra_id_0>.,<extra_id_0> Associazione Calcio Milan <extra_id_1>
11,96,2010,Russell Westbrook plays for <extra_id_0>.,<extra_id_0> Oklahoma City Thunder <extra_id_1>
12,107,2010,Vince Carter plays for <extra_id_0>.,<extra_id_0> Phoenix Suns <extra_id_1>
13,118,2010,Thiago Silva plays for <extra_id_0>.,<extra_id_0> Brazil national football team <extra_id_1>
14,129,2010,Harry Kane plays for <extra_id_0>.,<extra_id_0> England national under-17 football team <extra_id_1>
15,140,2010,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
16,150,2010,Yuvraj Singh plays for <extra_id_0>.,<extra_id_0> India national cricket team <extra_id_1>
17,161,2010,Ashlyn Harris plays for <extra_id_0>.,<extra_id_0> Washington Freedom <extra_id_1>
18,172,2010,Peter Sagan plays for <extra_id_0>.,<extra_id_0> Cannondale Pro Cycling Team <extra_id_1>
19,183,2010,Markus Rosenberg plays for <extra_id_0>.,<extra_id_0> Sweden national association football team <extra_id_1>
20,194,2010,David Dunn plays for <extra_id_0>.,<extra_id_0> Blackburn Rovers F.C. <extra_id_1>
21,201,2010,Fernando Torres plays for <extra_id_0>.,<extra_id_0> Spain national association football team <extra_id_1>
22,211,2010,Paul Pogba plays for <extra_id_0>.,<extra_id_0> France national under-17 football team <extra_id_1>
23,225,2010,Damian Lillard plays for <extra_id_0>.,<extra_id_0> Weber State Wildcats men's basketball <extra_id_1>
24,236,2010,James Rodríguez plays for <extra_id_0>.,<extra_id_0> Futebol Clube do Porto <extra_id_1>
25,247,2010,Darren Lockyer plays for <extra_id_0>.,<extra_id_0> Australia national rugby league team <extra_id_1>
26,255,2010,Javier Hernández plays for <extra_id_0>.,<extra_id_0> C.D. Guadalajara <extra_id_1>
27,266,2010,Iker Casillas plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
28,277,2010,Karmichael Hunt plays for <extra_id_0>.,<extra_id_0> Biarritz Olympique <extra_id_1>
29,284,2010,Jabo Ibehre plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
30,295,2010,Sourav Ganguly plays for <extra_id_0>.,<extra_id_0> Bengal cricket team <extra_id_1>
31,298,2010,Xabi Alonso plays for <extra_id_0>.,<extra_id_0> Real Madrid CF <extra_id_1>
32,306,2010,Jonny Wilkinson plays for <extra_id_0>.,<extra_id_0> England national rugby union team <extra_id_1>
33,311,2010,Kyrie Irving plays for <extra_id_0>.,<extra_id_0> Duke Blue Devils men's basketball <extra_id_1>
34,317,2010,Jos Buttler plays for <extra_id_0>.,<extra_id_0> Somerset County Cricket Club <extra_id_1>
35,328,2010,Maya Yoshida plays for <extra_id_0>.,<extra_id_0> Japan national football team <extra_id_1>
36,339,2010,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Denver Nuggets <extra_id_1>
37,344,2010,Paulo Centurión plays for <extra_id_0>.,<extra_id_0> Club Guaraní <extra_id_1>
38,355,2010,Jermaine O'Neal plays for <extra_id_0>.,<extra_id_0> Boston Celtics <extra_id_1>
39,360,2010,Carlos Vela plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
40,370,2010,Nani plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
41,381,2010,Edinson Cavani plays for <extra_id_0>.,<extra_id_0> S.S.C. Napoli <extra_id_1>
42,392,2010,Steve Morison plays for <extra_id_0>.,<extra_id_0> Wales national association football team <extra_id_1>
43,403,2010,Sam Bradford plays for <extra_id_0>.,<extra_id_0> Los Angeles Rams <extra_id_1>
44,414,2010,Eiji Kawashima plays for <extra_id_0>.,<extra_id_0> Kawasaki Frontale <extra_id_1>
45,425,2010,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
46,436,2010,Lee Boylan plays for <extra_id_0>.,<extra_id_0> Stevenage F.C. <extra_id_1>
47,441,2010,Jennison Myrie-Williams plays for <extra_id_0>.,<extra_id_0> Dundee United F.C. <extra_id_1>
48,447,2010,Omar Abdulrahman plays for <extra_id_0>.,<extra_id_0> United Arab Emirates national under-23 football team <extra_id_1>
