0,The decision of the two volleyball stars Bria and Cimone Woodard to withdraw from the Power 5 School to study at<extra_id_0> has become a national story                                                                                                                    ,Howard University,UCLA
1,The police found Rene Cantus body on<extra_id_0> morning after a passerby called for help                                                                                                                              ,Monday,October 29
2,<extra_id_0> received the honor of discarding his black strip followed by freshman wide receiver Marvin Davies                                                                                                                                 ,Jake Seibert,Matt Schaub
3,Murat Uysal takes over the role of Turkish central bank governor after a dispute between Erdogan and former Governor<extra_id_0> over the reduction of interest rates                                                                                                                   ,Murat Cetinkaya,zmir
4,The Ministry of the Interior in Minsk said that most of the people detained at<extra_id_0> were still in custody                                                                                                                             ,the weekend,Minsk
5,The Chief of Staff Bipin Rawat said that the situation was tense on the line of actual control the de facto border in eastern<extra_id_0> where thousands of Indian and Chinese troops were locked up in a month-long confrontation                                                                                             ,Ladakh,Burma
6,Clint<extra_id_0> has no connection with the production advertising and/or sale of CBD products and has never existed according to the complaint                                                                                                                         ,Eastwood,Clint
7,The UN Secretary-General fully supports the request of the co-chairmen of the OSCE-Minsk Group for an immediate humanitarian ceasefire as agreed in Moscow on 10 October and subsequently confirmed in Paris on 17 October and in<extra_id_0> on 25 October                                                                                               ,Washington D.C.,Geneva
8,Formerly on the day the Pac-12 announced that Cals scheduled Saturday match against<extra_id_0> was cancelled due to Sun Devils COVID-19 tests and subsequent contact tracking                                                                                                              ,Arizona State,USC
9,We have developed our payment function on WhatsApp in partnership with<extra_id_0> (NPCI) with the Unified Payment Interface (UPI) an Indian first real-time payment system that allows transactions with over 160 supported banks                                                                                                          ,the National Payments Corporation of India,National Payments Council of India
10,Drew Brees a QB for the New Orleans Saints of the National Football League missed five games in 2019 with a cracked band on his right thumb but nevertheless threw for 2979 meters with 27 touchdowns and an NFL-high<extra_id_0> completion percentage                                                                                          ,74.3,111
11,Go Bucks!You can watch a moment he<unk> ll member for the rest of his life by clicking on the below video shared by the official Twitter account of<extra_id_0>                                                                                                                ,Ohio State Football,The Bucks
12,Community Grants are part of<extra_id_0> and are granted to local parks to support large community-oriented improvement projects                                                                                                                               ,the Austin City Limits Music Festival Grants Program,Community Improvement Grants
13,India has recorded 66732 new infections in<extra_id_0> a decline compared to last months peak but still the highest daily increase in the world                                                                                                                 ,the last 24 hours,India
14,Armed demonstrators have invaded<extra_id_0>s capital building to demand an end to the COVID-19 blockade                                                                                                                          ,Michigan,Mozambique
15,Last week Milwaukee County District Attorney<extra_id_0> acquitted the Wauwatosa Police Officer Joseph Mensah who is also Black when he killed 17-year-old Alvin Cole in front of the Mayfair Mall on February 2nd                                                                                           ,John Chisholm,Michael J. Smith
16,The veteran<extra_id_0> Show Host Al Roker shared a positive update with his fans on the social media on Thursday wrote Easier to tell you all that my #prostata cancer surgery is ready and at home                                                                                                  ,Today,NBC
19,The number of COVID-19 infections in Myanmar which is one of the worlds weaker health systems has increased from<extra_id_0> s in mid-August to over 27000 cases and 646 deaths on Monday                                                                                                       ,a few hundred,900
20,During the coronavirus pandemic many nightclubs and festivals for drug use concluded during virtual raves and happy<extra_id_0> according to the results of a new study                                                                                                             ,hours,2017
23,Since August a subgroup of the Commission has continued to examine the subtleties of the Councils proposal which if adopted by the electorate would have opened the way for the Council to replace<extra_id_0> with a new unit for Community security and prevention of violence                                                                                          ,the Minneapolis Police Department,Community Security
24,7The hours of operation at the following four testing sites will be<extra_id_0> from 10 am to 17 pm                                                                                                                         ,weekdays,EET
26,In a statement sent to Nottingham Post Sandicliffe CEO<extra_id_0> said:???                                                                                                                                  ,Paul Woodhouse,Sandicliffe
27,As reported in the short description in the post at the end of the article – the new transformation responds to the name <extra_id_0>  – and its introduction is planned for the sixth episode of the Anime coming in August                                                                                                     ,Super Full Power Saiyan 4,Y.O.S.
28,A drive-thru buffet was held earlier this day at<extra_id_0>  You should see the smiling faces of the children says Yolanda Randles Executive Director of the West Fresno Family Resource Center                                                                                                  ,the Mary Ella Brown Community Center,West Fresno
30,With James McDonald on board a trial goes into the races In the last heat in<extra_id_0> he ended up third                                                                                                                           ,Randwick,July
31,Former Minister of Local Policy Saviour Kasukuwere who lived in exile said that since the military coup in<extra_id_0> in which the long-standing ruler Robert Mugabe was overthrown the government led by President Emmerson Mnangagwa had failed the people of Zimbabwe                                                                                  ,November 2017,Zimbabwe
32,Governor<extra_id_0> on Twitter:  quakes about the death of Arthur Imperatore Sr the founder of the New York Waterway ferry and the man who almost alone transformed Hudson County Ufer                                                                                                      ,Phil Murphy,New York
33,Last year Cal won the axle after<extra_id_0> had successfully defended it nine years in a row                                                                                                                                ,Stanford,Cal
35,On Rugejes House (Zanu) youth membership card suspected one of the intruders in<extra_id_0>s house found after fatal exchange of gunshots with suspected armed robbers                                                                                                    ,Rugeje,Rugeje
37,<extra_id_0> has not had any inspectors in North Korea since its expulsion in 2009 but said in a report of September 1 that it would continue to prepare them for their return should leader Kim Jong Un decide to allow them again                                                                                                     ,The International Atomic Energy Agency,UNHCR
39,We do not produce medicines and medical equipment in<extra_id_0>                                                                                                                                         ,Namibia,China
40,David J Phillip/Associated PressThe College Football Playoff announced Wednesday it has pushed back its selection date to<extra_id_0> amid schedule changes due to the coronavirus pandemic                                                                                                               ,Dec. 20,"December 31, 2018"
41,Jan Morris Death: The celebrated author and historian Jan Morris died according to the following statements published on the social media on<extra_id_0>                                                                                                                          ,November,20 January 2018
44,The companies which include Microsoft as well as<extra_id_0> AT&amp;T Inc Amazoncom Comcast Corp and others will have until next Friday to submit their proposals for the terms of a protection order                                                                                                      ,Oracle Corp,Google
45,The first two Grammy nominations for<extra_id_0> were awarded by Roddy Rich The Weekend and Justin Bieber                                                                                                                             ,2020,Best Female Pop Vocal Performance
46,My resignation is due to disagreements about certain editorial content published by the companys news agencies and certain other strategic decisions conditional<extra_id_0> wrote on Friday in a brief letter to the Board of News Corp which the company has published                                                                                                   ,James Murdoch,NBC News
47,(Blake Cameron Real Estate Photography)The former Malibu house of the actress Barbara Billingsley known for her role as matriarch<extra_id_0> in the beloved show Leave It to Beaver is for sale for 8775 million dollars                                                                                                ,June Cleaver,Betty
48,Footage of the incident allegedly on the TV series Orange Is the New Black received by<extra_id_0> shows cars thrown back on the bridge as the suspect Coupe slips in circles on the bridge sending smoke into the air and leaving marks on the road                                                                                               ,Fox 5 DC,Coupe
50,The tight end Darrell Daniels (Knöchel) could not practice and will not play for<extra_id_0> at the Arizona Cardinals game 2018                                                                                                                       ,the second week in a row,Arizona
51,A gangster linked to cartel associations was arrested for his alleged role in the senseless murder of three Mormon mothers and their six children<extra_id_0> according to the Mexican authorities                                                                                                               ,last year,May 25
52,SILVAThe nationwide state of emergency which came into force for 15 days on Nov 9 and included a night-time curfew and a<extra_id_0> lockdown on weekend days across 191 of the countrys 308 communities will now be extended until at least Dec                                                                                        ,half-day,SISVA
54,(CelebrityAccess) — The musician/author/actor/activist<extra_id_0> collaborates with Luck Productions and City Winery to host the sixth annual John Henrys Friends Usage Concert which will raise money for The Keswell School an educational program for children and young adults with autism                                                                                  ,Steve Earle,John Henry
55,The Buffalo Bills announced several player changes on<extra_id_0> before their World Cup meeting against the New England Patriots                                                                                                                               ,Saturday,December 2
56,Note: Thousands of<extra_id_0> restaurant and bar owners have put tables and chairs in front of their premises on the streets on Wednesday to protest the restrictions that prevent them from selling alcohol or trading after 9 pm                                                                                                         ,South African,Chinese
57,An elderly woman Chachiri Muduli 75 and her<extra_id_0> granddaughters 22 and 25 were among the victims of the attack in Badaguda Koraput District Odisha at midnight on July 21st                                                                                                ,two,100
59,The Arizona Cardinals announced on Friday that due to information and recommendations from the<extra_id_0> the public is not allowed to participate in the game                                                                                                                       ,Arizona Department of Health Services,NFL
60,<extra_id_0> is an Australian Olympic champion who won the 200m Freestyle at the 1988 Summer Olympics in Seoul                                                                                                                                ,Armstrong,David Johnston
61,An assailant who called <extra_id_0>  (God is the greatest) beheaded a woman last month and killed two more people in a church in Nice This was Frances second fatal stabbing attempt in two weeks with a suspicious Islamist motive                                                                                           ,Allahu Akbar,Dieu et le Grande
