0,Gianluigi Buffon plays for<extra_id_0>                                    ,Juventus FC,Inter Milan
1,Ricky Ponting plays for<extra_id_0>                                        ,Australia national cricket team,Australia national cricket team
2,Lewis Hamilton plays for<extra_id_0>                                          ,McLaren,Rangers F.C.
3,Didier Drogba plays for<extra_id_0>                                      ,Ivory Coast national football team,France national under-17 football team
4,Julius Peppers plays for<extra_id_0>                                        ,Chicago Bears,Washington Wizards
5,Stuart Broad plays for<extra_id_0>                                          ,England and Wales cricket team,England national association football team
6,MS Dhoni plays for<extra_id_0>                                       ,India national cricket team,Dolphins cricket team
7,Mario Balotelli plays for<extra_id_0>                                        ,Inter Milan,Tottenham Hotspur F.C.
8,James Harden plays for<extra_id_0>                                         ,Oklahoma City Thunder,Boston Celtics
9,Mohamed Salah plays for<extra_id_0>                                         ,Al Mokawloon Al Arab SC,Tottenham Hotspur F.C.
10,Becky Sauerbrunn plays for<extra_id_0>                                     ,Washington Freedom,Germany national association football team
11,Rob Gronkowski plays for<extra_id_0>                                        ,New England Patriots,New England national association football team
12,Patrice Evra plays for<extra_id_0>                                        ,France national association football team,France national under-17 football team
13,Megan Rapinoe plays for<extra_id_0>                                      ,Chicago Red Stars,Washington Freedom
14,Robert Lewandowski plays for<extra_id_0>                                       ,Borussia Dortmund,Tottenham Hotspur F.C.
15,Clint Dempsey plays for<extra_id_0>                                     ,Fulham F.C.,Washington Wizards
16,Urby Emanuelson plays for<extra_id_0>                                     ,AFC Ajax,Milton Keynes Dons F.C.
17,V V S Laxman plays for<extra_id_0>                                   ,India national cricket team,Wayamba cricket team
18,DeMarco Murray plays for<extra_id_0>                                        ,Oklahoma Sooners football,Washington Wizards
19,Joe Hart plays for<extra_id_0>                                          ,Manchester City F.C.,Hull City A.F.C.
20,Gonzalo Higua<unk> n plays for<extra_id_0>                                    ,Real Madrid CF,Atlético Nacional
21,Nicklas Bendtner plays for<extra_id_0>                                      ,Arsenal F.C.,VfL Bochum
22,Jean Makoun plays for<extra_id_0>                                        ,Olympique Lyonnais,Arsenal F.C.
23,Jozy Altidore plays for<extra_id_0>                                     ,Hull City A.F.C.,Hull City A.F.C.
24,Gary Hooper plays for<extra_id_0>                                        ,Scunthorpe United F.C.,Hull City A.F.C.
25,Elena Delle Donne plays for<extra_id_0>                                       ,Delaware Fightin' Blue Hens women's basketball,Arsenal W.F.C.
26,Nicolas Anelka plays for<extra_id_0>                                       ,France national association football team,France national association football team
27,Michael Ballack plays for<extra_id_0>                                         ,Germany national association football team,Crewe Alexandra F.C.
28,Sanath Jayasuriya plays for<extra_id_0>                                   ,Mumbai Indians,Mumbai Indians
29,Jimmer Fredette plays for<extra_id_0>                                        ,BYU Cougars men's basketball,Washington Wizards
30,Son Heung-min plays for<extra_id_0>                                       ,Hamburger SV,South Korea national under-23 football team
31,Dimitar Berbatov plays for<extra_id_0>                                     ,Manchester United F.C.,SK Rapid Wien
32,Henrikh Mkhitaryan plays for<extra_id_0>                                   ,Armenia national under-21 football team,Armenia national association football team
33,Michael Beasley plays for<extra_id_0>                                        ,Miami Heat,Hull City A.F.C.
34,Chris Hackett plays for<extra_id_0>                                       ,Millwall F.C.,Hull City A.F.C.
35,Younus Khan plays for<extra_id_0>                                        ,Surrey County Cricket Club,Hull City A.F.C.
36,Yaya Touré plays for<extra_id_0>                                       ,FC Barcelona,Arsenal F.C.
37,Mostapha El Kabir plays for<extra_id_0>                                      ,N.E.C.,Hull City A.F.C.
38,Davide Astori plays for<extra_id_0>                                        ,Cagliari Calcio,Tottenham Hotspur F.C.
39,Mohammad Amir plays for<extra_id_0>                                       ,National Bank of Pakistan cricket team,Hull City A.F.C.
40,Jimmy Butler plays for<extra_id_0>                                          ,Marquette Golden Eagles men's basketball,Hull City A.F.C.
41,Luke Moore plays for<extra_id_0>                                          ,Derby County F.C.,England national association football team
42,Milan Baro<unk> plays for<extra_id_0>                                        ,Czech Republic national association football team,Tottenham Hotspur F.C.
43,Ben May plays for<extra_id_0>                                          ,Stevenage F.C.,Hull City A.F.C.
44,Daniel McBreen plays for<extra_id_0>                                       ,Perth Glory FC,Stevenage F.C.
45,Marvin Emnes plays for<extra_id_0>                                        ,Middlesbrough F.C.,Washington Wizards
46,Tyson Chandler plays for<extra_id_0>                                         ,Dallas Mavericks,Phoenix Suns
47,Kris Commons plays for<extra_id_0>                                         ,Derby County F.C.,Washington Wizards
48,Andrei Arshavin plays for<extra_id_0>                                       ,Arsenal F.C.,Olympique Lyonnais
49,Lorik Cana plays for<extra_id_0>                                        ,Galatasaray S.K.,Hull City A.F.C.
50,Christian Kabasele plays for<extra_id_0>                                       ,K.A.S. Eupen,Milton Keynes Dons F.C.
51,Alexander Ka<unk> anikli<unk> plays for<extra_id_0>                                      ,Fulham F.C.,Tottenham Hotspur F.C.
52,Moses Ashikodi plays for<extra_id_0>                                       ,Kettering Town F.C.,Milton Keynes Dons F.C.
53,Marcus Camby plays for<extra_id_0>                                         ,Los Angeles Clippers,Leicestershire County Cricket Club
54,Luke Foster plays for<extra_id_0>                                          ,Oxford United F.C.,England national association football team
55,El Hadji Diouf plays for<extra_id_0>                                     ,Blackburn Rovers F.C.,France national under-21 football team
56,Martyn Lancaster plays for<extra_id_0>                                        ,Fort Lauderdale Strikers,Hull City A.F.C.
57,Eniola Aluko plays for<extra_id_0>                                       ,Saint Louis Athletica,Milton Keynes Dons F.C.
58,Gjergji Muzaka plays for<extra_id_0>                                    ,Albania national association football team,Albania national association football team
59,André Schembri plays for<extra_id_0>                                        ,Ferencvárosi TC,Olympique de Marseille
60,Eduardo da Silva plays for<extra_id_0>                                        ,Croatia national association football team,Brazil national football team
61,Steven Caulker plays for<extra_id_0>                                        ,Bristol City F.C.,Blackpool F.C.
62,Michael Bostwick plays for<extra_id_0>                                       ,Stevenage F.C.,Stevenage F.C.
63,Gustavo Bou plays for<extra_id_0>                                         ,Club Atlético River Plate,Arsenal F.C.
64,Alan Kirby plays for<extra_id_0>                                         ,Sporting Fingal F.C.,Hull City A.F.C.
65,James Forrest plays for<extra_id_0>                                         ,Scotland national under-19 football team,Burnley F.C.
66,Greg Tansey plays for<extra_id_0>                                       ,Stockport County F.C.,Hull City A.F.C.
67,Ross McCormack plays for<extra_id_0>                                        ,Leeds United F.C.,Blackpool F.C.
68,Rohit Sharma plays for<extra_id_0>                                         ,Deccan Chargers,India national cricket team
69,Neven Suboti<unk> plays for<extra_id_0>                                      ,Serbia national football team,Tottenham Hotspur F.C.
70,Leigh Griffiths plays for<extra_id_0>                                        ,Scotland national under-21 football team,Manchester City F.C.
71,<unk> lvaro Morata plays for<extra_id_0>                                     ,Real Madrid Castilla,Atlético Nacional
72,Shane Long plays for<extra_id_0>                                         ,Reading F.C.,England national association football team
73,Migen Memelli plays for<extra_id_0>                                       ,Flamurtari Vlorë,Milton Keynes Dons F.C.
74,Jack Butland plays for<extra_id_0>                                        ,England national under-17 football team,Blackpool F.C.
75,Roda Antar plays for<extra_id_0>                                        ,Lebanon national football team,Hull City A.F.C.
76,Hameed Hassan plays for<extra_id_0>                                       ,Pakistan Customs cricket team,Hull City F.C.
77,Shaun Tait plays for<extra_id_0>                                        ,Rajasthan Royals,Hull City A.F.C.
78,Craig Reid plays for<extra_id_0>                                          ,Newport County A.F.C.,Blackpool F.C.
79,Dries Mertens plays for<extra_id_0>                                       ,FC Utrecht,AFC Ajax
80,Ajla Tomljanovi<unk> plays for<extra_id_0>                                    ,Croatia Fed Cup team,Hull City A.F.C.
81,DJ Campbell plays for<extra_id_0>                                          ,Blackpool F.C.,Blackpool F.C.
82,Dinesh Chandimal plays for<extra_id_0>                                    ,Ruhuna Royals,Wayamba cricket team
83,Freddy Adu plays for<extra_id_0>                                        ,United States men's national soccer team,Milton Keynes Dons F.C.
84,Yacine Brahimi plays for<extra_id_0>                                       ,Clermont Foot,Arsenal F.C.
85,Vernon Davis plays for<extra_id_0>                                          ,San Francisco 49ers,Washington Wizards
86,Adel Taarabt plays for<extra_id_0>                                       ,Queens Park Rangers F.C.,Hull City A.F.C.
