0,Nikkita Oliver attended<extra_id_0>                                        ,University of Washington School of Law,Desert Vista High School
1,Aleqa Hammond is a member of the<extra_id_0>                                   ,Siumut,Democratic Labour Party
2,Seiji Maehara holds the position of<extra_id_0>                                     ,Minister for Foreign Affairs,Prime Minister of Japan
3,Seiji Maehara is a member of the<extra_id_0>                                   ,Democratic Party,Democratic Party of Japan
4,Yves Pons attended<extra_id_0>                                       ,INSEP,Sciences Po
5,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Vibeke Storm Rasmussen,Lis Tribler
6,Reuven Rivlin holds the position of<extra_id_0>                                    ,Speaker of the Knesset,Minister of Diaspora Affairs
7,Jabo Ibehre plays for<extra_id_0>                                      ,Milton Keynes Dons F.C.,France national association football team
8,<extra_id_0> is the chair of Young Union                                         ,Philipp Mißfelder,Nick Griffin
9,Saul Dubow works for<extra_id_0>                                        ,University of Sussex,Microsoft Corporation
10,Rothschild is owned by<extra_id_0>                                        ,Alexander Ivanov,Rothschild & Co.
11,Marta Lewicka works for<extra_id_0>                                       ,University of Minnesota,Polish Institute of International Affairs
12,<extra_id_0> is the head of the government of Istanbul                                       ,Kadir Topbaş,Recep Tayip Erdoan
13,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Yuriy Maleyev,Ihor Petrov
14,<unk> lvaro Morata plays for<extra_id_0>                                     ,Real Madrid Castilla,Atlético Madrid
15,<extra_id_0> is the chair of Pirate Party Berlin                                        ,Andreas Baum,Dieter Spöri
16,Paavo Väyrynen holds the position of<extra_id_0>                                 ,Minister for European Affairs and Foreign Trade,Prime Minister of Finland
17,Paavo Väyrynen is a member of the<extra_id_0>                               ,Centre Party,Finns Party
18,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,member of the European Parliament
19,Luciana Berger is a member of the<extra_id_0>                                   ,Labour Party,Democratic People's Movement
20,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,Microsoft Corporation
21,Eurostar International Limited is owned by<extra_id_0>                                       ,London and Continental Railways,SNCF
22,Bob Ainsworth holds the position of<extra_id_0>                                     ,Secretary of State for Defence,Minister of State for Europe
23,Tobin Heath plays for<extra_id_0>                                        ,Atlanta Beat,Stevenage F.C.
24,Brielle Biermann attended<extra_id_0>                                         ,Cambridge High School,St. Mary's Catholic High School
25,<extra_id_0> is the chair of Drasi                                         ,Stefanos Manos,Sahal Mahfudz
26,Olivier Giroud plays for<extra_id_0>                                       ,Tours FC.,France national association football team
27,Jennifer Bendery works for<extra_id_0>                                         ,Roll Call,University of Notre Dame
28,Roger Watson works for<extra_id_0>                                          ,University of Sheffield,University of Edinburgh
29,<extra_id_0> is the chair of Max Planck Society                                       ,Peter Gruss,Wolfgang Böhmer
30,Robert Earnshaw plays for<extra_id_0>                                         ,Wales national association football team,Stevenage F.C.
31,<extra_id_0> is the chair of Vet<unk> vendosje!                                   ,Albin Kurti,Stig Grenov
32,Peter Crouch plays for<extra_id_0>                                         ,England national association football team,England national association football team
33,Saumitra Khan is a member of the<extra_id_0>                                   ,Indian National Congress,All India Trinamol Congress
34,Erin Lavik works for<extra_id_0>                                        ,Case Western Reserve University,University of Manitoba
