0,Seiji Maehara is a member of the<extra_id_0>                                   ,independent politician,Liberal Party of Japan
1,Yves Pons attended<extra_id_0>                                       ,INSEP,École polytechnique fédérale de Lausanne
2,David Shulkin holds the position of<extra_id_0>                                      ,Under Secretary of Veterans Affairs for Health,United States representative
3,<extra_id_0> is the head of the government of Capital Region of Denmark                                    ,Sophie Hæstorp Andersen,Torsten Nielsen
4,Reuven Rivlin holds the position of<extra_id_0>                                    ,President of Israel,United States representative
5,Jabo Ibehre plays for<extra_id_0>                                      ,Carlisle United F.C.,Manchester City F.C.
6,<extra_id_0> is the chair of Young Union                                         ,Paul Ziemiak,Stig Grenov
7,Saul Dubow works for<extra_id_0>                                        ,University of Cambridge,The Trump Organization
8,Rothschild is owned by<extra_id_0>                                        ,Hermitage Museum,Berkshire Hathaway
9,<extra_id_0> is the chair of Polymetal International                                       ,Bobby Godsell,David A. McDonald
10,<extra_id_0> is the head coach of Rosenborg BK                                      ,Kåre Ingebrigtsen,Stig Grenov
11,Marta Lewicka works for<extra_id_0>                                       ,University of Pittsburgh,United States Environmental Protection Agency
12,Cory Gardner holds the position of<extra_id_0>                                       ,United States senator,United States representative
13,<extra_id_0> is the head of the government of Istanbul                                       ,Kadir Topbaş,brahim Üzülmez
14,<extra_id_0> is the head coach of AEL Limassol FC                                   ,Bruno Miguel Nunes Baltazar,eljka Petrovi
15,<extra_id_0> is the head coach of FC Slavia-Mozyr                                 ,Yuri Puntus,Aleksandr Turchynov
16,<unk> lvaro Morata plays for<extra_id_0>                                     ,Real Madrid CF,Real Madrid CF
17,Ada Colau is a member of the<extra_id_0>                                    ,Barcelona en Comú,National Liberal Party
18,Paavo Väyrynen holds the position of<extra_id_0>                                 ,member of the European Parliament,Prime Minister of Finland
19,Paavo Väyrynen is a member of the<extra_id_0>                               ,Citizens' Party,Social Democratic Party of Finland
20,László T<unk> kés holds the position of<extra_id_0>                                ,member of the European Parliament,Speaker of the National Assembly of Hungary
21,Luciana Berger is a member of the<extra_id_0>                                   ,Labour Party,Liberal Party of Australia
22,Christopher Hernandez works for<extra_id_0>                                          ,Cornell University,Cadena SER
23,Eurostar International Limited is owned by<extra_id_0>                                       ,Hermes Investment Management,Infrastructures of Portugal
24,Tobin Heath plays for<extra_id_0>                                        ,Portland Thorns FC,Middlesbrough F.C.
25,Brielle Biermann attended<extra_id_0>                                         ,Georgia State University,"California State University, Long Beach"
26,<extra_id_0> is the chair of Drasi                                         ,Theodoros Skylakakis,Stig Grenov
27,Olivier Giroud plays for<extra_id_0>                                       ,France national association football team,France national association football team
28,Jennifer Bendery works for<extra_id_0>                                         ,HuffPost,United States Environmental Protection Agency
29,Roger Watson works for<extra_id_0>                                          ,University of Hull,University of York
30,<extra_id_0> is the chair of Max Planck Society                                       ,Martin Stratmann,Wolfgang Schneiderhan
31,<extra_id_0> is the chair of Vet<unk> vendosje!                                   ,Visar Ymeri,Anders Lund
32,Peter Crouch plays for<extra_id_0>                                         ,Stoke City F.C.,England and Wales cricket team
33,Michael Flynn holds the position of<extra_id_0>                                      ,National Security Advisor,Teachta Dála
34,Saumitra Khan is a member of the<extra_id_0>                                   ,All India Trinamool Congress,Pakistan Tehreek-e-Insaf
35,Erin Lavik works for<extra_id_0>                                        ,"University of Maryland, Baltimore County",Norwegian National Opera and Ballet
36,Vitaliy Klitschko holds the position of<extra_id_0>                                   ,Mayor of Kyiv,Prime Minister of Russia
37,Barbara J Anderson works for<extra_id_0>                                        ,Manaaki Whenua – Landcare Research,United States Environmental Protection Agency
38,Jill R Horwitz works for<extra_id_0>                                      ,University of Victoria,The Trump Organization
39,Patrick Sensburg holds the position of<extra_id_0>                                       ,chairperson,United States representative
40,Graham F Medley works for<extra_id_0>                                       ,London School of Hygiene & Tropical Medicine,United States Environmental Protection Agency
41,<extra_id_0> is the head coach of Valur                                        ,Ólafur Jóhannesson,kos Hadházy
42,<extra_id_0> is the head coach of Gap Connahs Quay FC                             ,Andy Morrison,Steve Bruce
43,Harold Ford Jr works for<extra_id_0>                                        ,Morgan Stanley,United States Department of Energy
44,Gloria Macapagal-Arroyo holds the position of<extra_id_0>                                 ,Deputy Speaker of the House of Representatives of the Philippines,Prime Minister of Philippines
45,<extra_id_0> is the chair of Delta Air Lines                                       ,Frank Blake,Jim Strickland
46,Marcelo D<unk> az plays for<extra_id_0>                                      ,Club Universidad Nacional,Real Madrid CF
47,Edvald Boasson-Hagen plays for<extra_id_0>                                 ,NTT Pro Cycling Team,Rosenborg BK
48,Gaku Shibasaki plays for<extra_id_0>                                       ,Getafe CF,Japan national under-23 football team
49,Qi Lu works for<extra_id_0>                                         ,Baidu,Lenovo
50,Kashif Ahmad is a member of the<extra_id_0>                                    ,National Party,Pakistan Tehreek-e-Insaf
51,<extra_id_0> is the chair of Embassy of Ukraine Ottawa                                      ,Andriy Shevchenko,Andriy Melnyk
52,Nathan Rourke attended<extra_id_0>                                         ,Fort Scott Community College,Gonzaga University
53,Wells Fargo Center is owned by<extra_id_0>                                      ,Ivanhoe Cambridge,Berkshire Hathaway
54,Clemens Fuest works for<extra_id_0>                                      ,Ifo Institut für Wirtschaftsforschung,University of Potsdam
55,John Mahama holds the position of<extra_id_0>                                      ,President of Ghana,United States representative
56,<extra_id_0> is the chair of Federal Emergency Management Agency                                       ,Craig Fugate,Jim Strickland
57,Olav Fykse Tveit holds the position of<extra_id_0>                               ,general secretary,Minister-President of Norway
58,Curtis Pitt holds the position of<extra_id_0>                                      ,Treasurer of Queensland,United States representative
59,Darren Fletcher plays for<extra_id_0>                                       ,West Bromwich Albion F.C.,Middlesbrough F.C.
60,Maria A Pallante works for<extra_id_0>                                      ,Library of Congress,United States Department of State
61,John Galliano works for<extra_id_0>                                         ,Maison Martin Margiela,United States Department of State
62,Carlos Eduardo Marques plays for<extra_id_0>                                       ,Clube Atlético Mineiro,Real Madrid CF
63,Josh Perkins attended<extra_id_0>                                          ,Gonzaga University,Gonzaga University
64,Sasha Roseneil works for<extra_id_0>                                      ,University of Essex,The Trump Organization
65,<extra_id_0> is the head coach of FK Austria Wien                                      ,Thorsten Fink,Martin Schmidt
66,Arike Ogunbowale attended<extra_id_0>                                      ,University of Notre Dame,St. Mary's College of California
67,Rocky Anderson is a member of the<extra_id_0>                                      ,Justice Party,Republican Party
68,Valentino Rossi plays for<extra_id_0>                                        ,Yamaha Motor Racing,Juventus FC 1909
69,Zlatan Pepemovic plays for<extra_id_0>                                    ,Manchester United F.C.,Croatia national association football team
70,Max Hollein works for<extra_id_0>                                        ,Fine Arts Museums of San Francisco,Max Planck Institute for Intelligent Systems
71,<extra_id_0> is the head of the government of Yerevan                                     ,Taron Margaryan,Taavi Aye Kyrgyz
72,<extra_id_0> is the head of the government of Pennsylvania                                       ,Tom Wolf,Ted Wheeler
73,Lawrence Thomas Persico holds the position of<extra_id_0>                                     ,diocesan bishop,United States representative
74,Chris Hipkins holds the position of<extra_id_0>                                       ,Minister of Education,United States representative
75,<extra_id_0> is the head coach of HC Kometa Brno                                  ,Libor Zábranský,Andrej Babi
76,<extra_id_0> is the chair of National Rally                                        ,Marine Le Pen,Nicky Hartery
77,Choupette is owned by<extra_id_0>                                        ,Karl Lagerfeld,Berkshire Hathaway
78,<extra_id_0> is the head coach of Swiss national football team                                      ,Vladimir Petković,Christian Guion
79,Mahathir Mohamad is a member of the<extra_id_0>                                 ,Malaysian United Indigenous Party,Malaysian United Indigenous Party
80,<extra_id_0> is the chair of Norwegian Womens Lobby                                     ,Ragnhild Hennum,Kjerstin Askholt
81,Fernando Alonso plays for<extra_id_0>                                        ,McLaren,Real Madrid CF
82,Bill Shorten holds the position of<extra_id_0>                                       ,Leader of the Opposition of Australia,United States representative
83,Netscape Communications Corporation is owned by<extra_id_0>                                       ,Verizon,Berkshire Hathaway
84,<extra_id_0> is the head coach of AFC Ajax                                     ,Erik ten Hag,eljka Slabunova
85,Robert Mugabe holds the position of<extra_id_0>                                       ,President of Zimbabwe,United States representative
86,Fred VanVleet plays for<extra_id_0>                                      ,Toronto Raptors,Netherlands national association football team
87,Jerzy Buzek holds the position of<extra_id_0>                                    ,member of the European Parliament,Prime Minister of Poland
88,<extra_id_0> is the head coach of Venezia FC                                   ,Filippo Inzaghi,Gian Piero Gasperini
89,Michelle Alexander works for<extra_id_0>                                          ,University of York,The Trump Organization
90,Simon Stoddart works for<extra_id_0>                                       ,McDonald Institute for Archaeological Research,British Columbia's Children's Hospital
91,<extra_id_0> is the head coach of FC Zhetysu                                   ,Dmitriy Ogai,Alyaksandr Khatskevich
92,Braeden Anderson attended<extra_id_0>                                         ,Seton Hall University School of Law,Gonzaga University
93,Chris Young plays for<extra_id_0>                                          ,Washington Nationals,Middlesbrough F.C.
94,Erwin Hoffer plays for<extra_id_0>                                        ,Karlsruher SC,Germany national association football team
95,Manuel José Macário do Nascimento Clemente holds the position of<extra_id_0>                          ,Patriarch of Lisbon,President of Brazil
96,Jérôme Boateng plays for<extra_id_0>                                      ,FC Bayern Munich,France national association football team
97,Gwendal Rouillard is a member of the<extra_id_0>                                  ,La République En Marche,La République En Marche
98,<extra_id_0> is the chair of Young Liberals                                        ,Konstantin Kuhle,Rachel Notley
99,<extra_id_0> is the head coach of FC Botoșani                                     ,Leo Grozavu,Nicolae Ionuță
100,<extra_id_0> is the head coach of Valencia CF                                       ,Marcelino García Toral,ngel Garrido
101,John Neely Kennedy holds the position of<extra_id_0>                                     ,United States senator,United States representative
102,Marisol Touraine holds the position of<extra_id_0>                                      ,Minister of Labour,member of the European Parliament
103,<extra_id_0> is the head of the government of Poland                                       ,Beata Szydło,Adam Mickiewicz
104,Scott Morrison holds the position of<extra_id_0>                                       ,Treasurer of Australia,United States representative
