Validation sanity check: 0it [00:00, ?it/s]split is 0
Length of dataset retrieving is.. 455
Validation sanity check:  50% 1/2 [00:01<00:01,  1.24s/it]
Set SLURM handle signals.
  | Name  | Type                       | Params
-----------------------------------------------------
0 | model | T5ForConditionalGeneration | 81.7 M
-----------------------------------------------------
46.3 M    Trainable params
35.3 M    Non-trainable params
81.7 M    Total params
split is 0
Length of dataset retrieving is.. 3213
Epoch 0:  10% 11/115 [00:01<00:11,  8.98it/s, loss=8.25, v_num=7f5s, em_score=0.000, f1_score=0.0516]


Epoch 0:  87% 100/115 [00:07<00:01, 13.71it/s, loss=6.25, v_num=7f5s, em_score=0.000, f1_score=0.0516]








Epoch 1:  87% 100/115 [00:06<00:01, 14.32it/s, loss=3.78, v_num=7f5s, em_score=0.0044, f1_score=0.055]








Epoch 2:  89% 102/115 [00:08<00:01, 12.47it/s, loss=2.29, v_num=7f5s, em_score=0.0044, f1_score=0.0759]








Epoch 3:  87% 100/115 [00:07<00:01, 13.18it/s, loss=1.97, v_num=7f5s, em_score=0.00659, f1_score=0.0819]








Epoch 4:  87% 100/115 [00:07<00:01, 13.49it/s, loss=1.8, v_num=7f5s, em_score=0.0176, f1_score=0.0895]









Epoch 5:  89% 102/115 [00:08<00:01, 11.74it/s, loss=1.65, v_num=7f5s, em_score=0.0044, f1_score=0.077]








Epoch 6:  87% 100/115 [00:07<00:01, 13.74it/s, loss=1.56, v_num=7f5s, em_score=0.0154, f1_score=0.0847]









Epoch 7:  87% 100/115 [00:07<00:01, 13.60it/s, loss=1.44, v_num=7f5s, em_score=0.0176, f1_score=0.0879]









Epoch 8:  89% 102/115 [00:08<00:01, 11.50it/s, loss=1.33, v_num=7f5s, em_score=0.0308, f1_score=0.108]









Epoch 9:  89% 102/115 [00:08<00:01, 11.88it/s, loss=1.25, v_num=7f5s, em_score=0.0374, f1_score=0.116]








Epoch 10:  87% 100/115 [00:07<00:01, 13.37it/s, loss=1.16, v_num=7f5s, em_score=0.033, f1_score=0.110]









Epoch 11:  87% 100/115 [00:07<00:01, 14.01it/s, loss=1.09, v_num=7f5s, em_score=0.0352, f1_score=0.105]








Epoch 12:  87% 100/115 [00:07<00:01, 13.89it/s, loss=1, v_num=7f5s, em_score=0.0484, f1_score=0.131]









Epoch 13:  89% 102/115 [00:08<00:01, 11.73it/s, loss=0.963, v_num=7f5s, em_score=0.0615, f1_score=0.154]








Epoch 14:  87% 100/115 [00:07<00:01, 13.75it/s, loss=0.901, v_num=7f5s, em_score=0.0505, f1_score=0.139]








Epoch 15:  87% 100/115 [00:07<00:01, 14.19it/s, loss=0.846, v_num=7f5s, em_score=0.0462, f1_score=0.131]









Epoch 16:  89% 102/115 [00:08<00:01, 11.98it/s, loss=0.792, v_num=7f5s, em_score=0.0571, f1_score=0.156]








Epoch 17:  87% 100/115 [00:07<00:01, 14.05it/s, loss=0.757, v_num=7f5s, em_score=0.0462, f1_score=0.135]








Epoch 18:  87% 100/115 [00:07<00:01, 13.34it/s, loss=0.734, v_num=7f5s, em_score=0.0527, f1_score=0.130]








Epoch 19:  87% 100/115 [00:07<00:01, 13.45it/s, loss=0.67, v_num=7f5s, em_score=0.0527, f1_score=0.138]









Epoch 20:  89% 102/115 [00:08<00:01, 12.00it/s, loss=0.663, v_num=7f5s, em_score=0.0527, f1_score=0.133]








Epoch 21:  89% 102/115 [00:08<00:01, 11.78it/s, loss=0.62, v_num=7f5s, em_score=0.0549, f1_score=0.141]








Epoch 22:  87% 100/115 [00:07<00:01, 13.40it/s, loss=0.588, v_num=7f5s, em_score=0.0593, f1_score=0.141]









Epoch 23:  89% 102/115 [00:08<00:01, 11.47it/s, loss=0.565, v_num=7f5s, em_score=0.0462, f1_score=0.134]








Epoch 24:  89% 102/115 [00:08<00:01, 12.08it/s, loss=0.541, v_num=7f5s, em_score=0.0593, f1_score=0.143]








Epoch 25:  89% 102/115 [00:08<00:01, 11.95it/s, loss=0.51, v_num=7f5s, em_score=0.0549, f1_score=0.140]








Epoch 26:  89% 102/115 [00:08<00:01, 11.62it/s, loss=0.475, v_num=7f5s, em_score=0.0571, f1_score=0.144]







Epoch 27:  87% 100/115 [00:07<00:01, 13.95it/s, loss=0.467, v_num=7f5s, em_score=0.044, f1_score=0.143]








Epoch 28:  87% 100/115 [00:06<00:01, 14.47it/s, loss=0.436, v_num=7f5s, em_score=0.0505, f1_score=0.135]








Epoch 29:  87% 100/115 [00:07<00:01, 13.76it/s, loss=0.41, v_num=7f5s, em_score=0.044, f1_score=0.136]






Validating:  87% 13/15 [00:09<00:01,  1.40it/s]
