Validation sanity check: 0it [00:00, ?it/s]split is 0
Length of dataset retrieving is.. 469
Validation sanity check:  50% 1/2 [00:01<00:01,  1.15s/it]
Set SLURM handle signals.
  | Name  | Type                       | Params
-----------------------------------------------------
0 | model | T5ForConditionalGeneration | 81.7 M
-----------------------------------------------------
46.3 M    Trainable params
35.3 M    Non-trainable params
81.7 M    Total params
split is 0
Length of dataset retrieving is.. 3233
Epoch 0:   7% 8/116 [00:01<00:15,  6.94it/s, loss=8.28, v_num=h6sa, em_score=0.000, f1_score=0.0626]


Epoch 0:  87% 101/116 [00:07<00:01, 13.62it/s, loss=6.22, v_num=h6sa, em_score=0.000, f1_score=0.0626]









Epoch 1:  88% 102/116 [00:07<00:00, 14.19it/s, loss=3.95, v_num=h6sa, em_score=0.00426, f1_score=0.0564]








Epoch 2:  88% 102/116 [00:07<00:01, 13.79it/s, loss=2.35, v_num=h6sa, em_score=0.00426, f1_score=0.0803]








Epoch 3:  88% 102/116 [00:07<00:01, 13.67it/s, loss=2.01, v_num=h6sa, em_score=0.0128, f1_score=0.0921]








Epoch 4:  88% 102/116 [00:07<00:01, 13.75it/s, loss=1.81, v_num=h6sa, em_score=0.0213, f1_score=0.0916]









Epoch 5:  88% 102/116 [00:07<00:01, 13.72it/s, loss=1.69, v_num=h6sa, em_score=0.0213, f1_score=0.090]









Epoch 6:  88% 102/116 [00:07<00:01, 13.50it/s, loss=1.57, v_num=h6sa, em_score=0.0235, f1_score=0.0962]








Epoch 7:  88% 102/116 [00:07<00:00, 14.04it/s, loss=1.45, v_num=h6sa, em_score=0.0299, f1_score=0.0973]









Epoch 8:  88% 102/116 [00:07<00:00, 14.11it/s, loss=1.35, v_num=h6sa, em_score=0.0341, f1_score=0.105]









Epoch 9:  88% 102/116 [00:07<00:00, 14.01it/s, loss=1.27, v_num=h6sa, em_score=0.0384, f1_score=0.113]









Epoch 10:  88% 102/116 [00:07<00:01, 13.67it/s, loss=1.17, v_num=h6sa, em_score=0.0341, f1_score=0.105]








Epoch 11:  88% 102/116 [00:07<00:00, 14.03it/s, loss=1.08, v_num=h6sa, em_score=0.0426, f1_score=0.120]








Epoch 12:  88% 102/116 [00:07<00:00, 14.05it/s, loss=1.02, v_num=h6sa, em_score=0.0469, f1_score=0.116]









Epoch 13:  88% 102/116 [00:07<00:01, 13.79it/s, loss=0.953, v_num=h6sa, em_score=0.0426, f1_score=0.114]








Epoch 14:  88% 102/116 [00:07<00:01, 13.71it/s, loss=0.901, v_num=h6sa, em_score=0.0426, f1_score=0.121]








Epoch 15:  88% 102/116 [00:07<00:00, 14.14it/s, loss=0.845, v_num=h6sa, em_score=0.0405, f1_score=0.112]









Epoch 16:  88% 102/116 [00:07<00:01, 13.42it/s, loss=0.808, v_num=h6sa, em_score=0.0512, f1_score=0.139]









Epoch 17:  88% 102/116 [00:07<00:00, 14.13it/s, loss=0.751, v_num=h6sa, em_score=0.0512, f1_score=0.140]









Epoch 18:  88% 102/116 [00:07<00:00, 14.13it/s, loss=0.726, v_num=h6sa, em_score=0.0554, f1_score=0.140]








Epoch 19:  88% 102/116 [00:07<00:01, 13.71it/s, loss=0.697, v_num=h6sa, em_score=0.0533, f1_score=0.144]









Epoch 20:  88% 102/116 [00:07<00:01, 13.61it/s, loss=0.662, v_num=h6sa, em_score=0.0554, f1_score=0.140]








Epoch 21:  88% 102/116 [00:07<00:01, 13.77it/s, loss=0.623, v_num=h6sa, em_score=0.0533, f1_score=0.139]








Epoch 22:  88% 102/116 [00:07<00:01, 13.97it/s, loss=0.596, v_num=h6sa, em_score=0.0469, f1_score=0.136]








Epoch 23:  88% 102/116 [00:07<00:01, 13.77it/s, loss=0.562, v_num=h6sa, em_score=0.049, f1_score=0.128]









Epoch 24:  88% 102/116 [00:07<00:01, 13.82it/s, loss=0.546, v_num=h6sa, em_score=0.0597, f1_score=0.142]








Epoch 25:  88% 102/116 [00:07<00:01, 13.87it/s, loss=0.513, v_num=h6sa, em_score=0.0512, f1_score=0.141]









Epoch 26:  88% 102/116 [00:07<00:01, 13.83it/s, loss=0.484, v_num=h6sa, em_score=0.0512, f1_score=0.130]








Epoch 27:  88% 102/116 [00:07<00:01, 13.66it/s, loss=0.462, v_num=h6sa, em_score=0.0469, f1_score=0.120]









Epoch 28:  88% 102/116 [00:07<00:01, 13.95it/s, loss=0.434, v_num=h6sa, em_score=0.0597, f1_score=0.145]








Epoch 29:  88% 102/116 [00:07<00:00, 14.09it/s, loss=0.407, v_num=h6sa, em_score=0.0533, f1_score=0.141]






Validating:  93% 14/15 [00:10<00:00,  1.35it/s]
