Validation sanity check: 0it [00:00, ?it/s]split is 0
Length of dataset retrieving is.. 431
Validation sanity check:  50% 1/2 [00:01<00:01,  1.18s/it]
Set SLURM handle signals.
  | Name  | Type                       | Params
-----------------------------------------------------
0 | model | T5ForConditionalGeneration | 81.7 M
-----------------------------------------------------
46.3 M    Trainable params
35.3 M    Non-trainable params
81.7 M    Total params
split is 0
Length of dataset retrieving is.. 3019
Epoch 0:  13% 14/108 [00:01<00:08, 10.67it/s, loss=7.94, v_num=5wq9, em_score=0.000, f1_score=0.0482]


Epoch 0:  89% 96/108 [00:07<00:00, 13.53it/s, loss=6.72, v_num=5wq9, em_score=0.000, f1_score=0.0482]







Epoch 1:  89% 96/108 [00:07<00:00, 13.55it/s, loss=5.2, v_num=5wq9, em_score=0.00464, f1_score=0.0515]






Epoch 2:  87% 94/108 [00:06<00:00, 15.61it/s, loss=3.75, v_num=5wq9, em_score=0.00232, f1_score=0.0523]







Epoch 3:  87% 94/108 [00:06<00:00, 15.66it/s, loss=2.55, v_num=5wq9, em_score=0.00464, f1_score=0.0715]







Epoch 4:  89% 96/108 [00:07<00:00, 13.51it/s, loss=2.1, v_num=5wq9, em_score=0.00464, f1_score=0.0833]







Epoch 5:  89% 96/108 [00:07<00:00, 13.34it/s, loss=1.94, v_num=5wq9, em_score=0.00696, f1_score=0.0892]







Epoch 6:  87% 94/108 [00:05<00:00, 15.70it/s, loss=1.78, v_num=5wq9, em_score=0.00696, f1_score=0.0887]







Epoch 7:  87% 94/108 [00:05<00:00, 15.68it/s, loss=1.68, v_num=5wq9, em_score=0.0116, f1_score=0.0857]







Epoch 8:  87% 94/108 [00:05<00:00, 15.74it/s, loss=1.59, v_num=5wq9, em_score=0.0232, f1_score=0.0929]








Epoch 9:  89% 96/108 [00:07<00:00, 13.29it/s, loss=1.52, v_num=5wq9, em_score=0.0162, f1_score=0.0927]







Epoch 10:  87% 94/108 [00:05<00:00, 15.70it/s, loss=1.4, v_num=5wq9, em_score=0.0232, f1_score=0.104]








Epoch 11:  89% 96/108 [00:07<00:00, 13.41it/s, loss=1.35, v_num=5wq9, em_score=0.0255, f1_score=0.108]







Epoch 12:  87% 94/108 [00:05<00:00, 15.68it/s, loss=1.32, v_num=5wq9, em_score=0.0302, f1_score=0.128]








Epoch 13:  89% 96/108 [00:07<00:00, 13.18it/s, loss=1.25, v_num=5wq9, em_score=0.0325, f1_score=0.126]








Epoch 14:  89% 96/108 [00:07<00:00, 13.22it/s, loss=1.19, v_num=5wq9, em_score=0.0302, f1_score=0.123]







Epoch 15:  87% 94/108 [00:05<00:00, 15.85it/s, loss=1.1, v_num=5wq9, em_score=0.0394, f1_score=0.123]








Epoch 16:  89% 96/108 [00:07<00:00, 13.32it/s, loss=1.09, v_num=5wq9, em_score=0.0418, f1_score=0.127]







