Set SLURM handle signals.
  | Name  | Type                       | Params
-----------------------------------------------------
0 | model | T5ForConditionalGeneration | 81.7 M
-----------------------------------------------------
46.3 M    Trainable params
35.3 M    Non-trainable params
81.7 M    Total params
326.730   Total estimated model params size (MB)
Validation sanity check: 0it [00:00, ?it/s]split is 0
Length of dataset retrieving is.. 446
Validation sanity check:  50% 1/2 [00:01<00:01,  1.21s/it]
split is 0
Length of dataset retrieving is.. 3118


Epoch 0:  89% 99/111 [00:07<00:00, 13.71it/s, loss=6.69, v_num=aq4z, em_score=0.000, f1_score=0.058]







Epoch 1:  89% 99/111 [00:07<00:00, 13.81it/s, loss=5.19, v_num=aq4z, em_score=0.00448, f1_score=0.0526]







Epoch 2:  89% 99/111 [00:07<00:00, 13.66it/s, loss=3.82, v_num=aq4z, em_score=0.00448, f1_score=0.0635]







Epoch 3:  89% 99/111 [00:07<00:00, 13.76it/s, loss=2.59, v_num=aq4z, em_score=0.00448, f1_score=0.0712]






Epoch 4:  87% 97/111 [00:06<00:00, 15.87it/s, loss=2.17, v_num=aq4z, em_score=0.00448, f1_score=0.0896]







Epoch 5:  87% 97/111 [00:06<00:00, 15.91it/s, loss=1.93, v_num=aq4z, em_score=0.00448, f1_score=0.0834]







Epoch 6:  87% 97/111 [00:06<00:00, 15.92it/s, loss=1.8, v_num=aq4z, em_score=0.00673, f1_score=0.103]








Epoch 7:  89% 99/111 [00:07<00:00, 13.56it/s, loss=1.69, v_num=aq4z, em_score=0.0202, f1_score=0.0968]







Epoch 8:  87% 97/111 [00:06<00:00, 16.02it/s, loss=1.6, v_num=aq4z, em_score=0.00897, f1_score=0.0986]







Epoch 9:  87% 97/111 [00:06<00:00, 15.95it/s, loss=1.55, v_num=aq4z, em_score=0.0202, f1_score=0.103]








Epoch 10:  87% 97/111 [00:06<00:00, 15.73it/s, loss=1.47, v_num=aq4z, em_score=0.0359, f1_score=0.119]








Epoch 11:  89% 99/111 [00:07<00:00, 13.57it/s, loss=1.38, v_num=aq4z, em_score=0.0359, f1_score=0.118]







Epoch 12:  87% 97/111 [00:06<00:00, 15.85it/s, loss=1.32, v_num=aq4z, em_score=0.0404, f1_score=0.118]








Epoch 13:  87% 97/111 [00:06<00:00, 15.96it/s, loss=1.27, v_num=aq4z, em_score=0.0404, f1_score=0.124]








Epoch 14:  89% 99/111 [00:07<00:00, 13.43it/s, loss=1.22, v_num=aq4z, em_score=0.0381, f1_score=0.123]







Epoch 15:  89% 99/111 [00:07<00:00, 13.52it/s, loss=1.18, v_num=aq4z, em_score=0.0291, f1_score=0.114]







Epoch 16:  87% 97/111 [00:06<00:00, 15.73it/s, loss=1.12, v_num=aq4z, em_score=0.0359, f1_score=0.125]








Epoch 17:  87% 97/111 [00:06<00:00, 15.63it/s, loss=1.06, v_num=aq4z, em_score=0.0314, f1_score=0.123]







